index,Time,NOR Speed,PIA Speed,VER Speed
262,0 days 00:00:23.910000,NaN,315.0,NaN
263,0 days 00:00:23.967000,316.0,NaN,NaN
264,0 days 00:00:24.109000,NaN,316.0,NaN
265,0 days 00:00:24.178000,NaN,NaN,320.0
266,0 days 00:00:24.287000,317.0,NaN,NaN
267,0 days 00:00:24.309000,NaN,317.0,NaN
268,0 days 00:00:24.377000,NaN,NaN,321.0
269,0 days 00:00:24.549000,NaN,317.0,NaN
270,0 days 00:00:24.646000,319.0,NaN,NaN
271,0 days 00:00:24.698000,NaN,NaN,322.0
272,0 days 00:00:24.858000,NaN,NaN,323.0
273,0 days 00:00:24.869000,NaN,319.0,NaN
274,0 days 00:00:24.887000,320.0,NaN,NaN
275,0 days 00:00:25.138000,NaN,NaN,323.0
276,0 days 00:00:25.149000,NaN,320.0,NaN
277,0 days 00:00:25.327000,321.0,NaN,NaN
278,0 days 00:00:25.350000,NaN,320.0,NaN
279,0 days 00:00:25.418000,NaN,NaN,325.0
280,0 days 00:00:25.658000,NaN,NaN,326.0
281,0 days 00:00:25.687000,323.0,NaN,NaN
282,0 days 00:00:25.709000,NaN,322.0,NaN
283,0 days 00:00:25.898000,NaN,NaN,327.0
284,0 days 00:00:25.950000,NaN,322.0,NaN
285,0 days 00:00:26.086000,324.0,NaN,NaN
286,0 days 00:00:26.138000,NaN,NaN,327.0
287,0 days 00:00:26.287000,324.0,NaN,NaN
288,0 days 00:00:26.309000,NaN,324.0,NaN
289,0 days 00:00:26.338000,NaN,NaN,328.0
290,0 days 00:00:26.498000,NaN,NaN,329.0
291,0 days 00:00:26.510000,NaN,324.0,NaN
292,0 days 00:00:26.670000,NaN,325.0,NaN
293,0 days 00:00:26.687000,325.0,NaN,NaN
294,0 days 00:00:26.698000,NaN,NaN,328.0
295,0 days 00:00:26.870000,NaN,325.0,NaN
296,0 days 00:00:26.926000,326.0,NaN,NaN
297,0 days 00:00:27.058000,NaN,NaN,328.0
298,0 days 00:00:27.150000,NaN,326.0,NaN
299,0 days 00:00:27.166000,326.0,NaN,NaN
300,0 days 00:00:27.218000,NaN,NaN,328.0
301,0 days 00:00:27.459000,NaN,NaN,322.0
302,0 days 00:00:27.567000,325.0,NaN,NaN
303,0 days 00:00:27.590000,NaN,327.0,NaN
304,0 days 00:00:27.658000,NaN,NaN,288.0
305,0 days 00:00:27.927000,265.0,NaN,NaN
306,0 days 00:00:27.938000,NaN,NaN,272.0
307,0 days 00:00:27.951000,NaN,302.0,NaN
308,0 days 00:00:28.087000,234.0,NaN,NaN
309,0 days 00:00:28.110000,NaN,268.0,NaN
310,0 days 00:00:28.219000,NaN,NaN,210.0
311,0 days 00:00:28.390000,NaN,235.0,NaN
312,0 days 00:00:28.407000,192.0,NaN,NaN
313,0 days 00:00:28.457000,NaN,NaN,176.0
314,0 days 00:00:28.590000,NaN,207.0,NaN
